table,datatype,year,fname,xlcolumn,xlrownum,incsort,incrange,vname,ptarget,table_description
tab12,filers,2015,15in12ms.xls,H,24,16,"$1,000,000 under $1,500,000",sd,218776,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,H,25,17,"$1,500,000 under $2,000,000",sd,98942,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,H,26,18,"$2,000,000 under $5,000,000",sd,118857,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,H,27,19,"$5,000,000 under $10,000,000",sd,18800,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,H,28,20,"$10,000,000 or more",sd,6520,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,9,1,"All returns, total",taxac,1435848586,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2015,15in12ms.xls,L,29,1,"Taxable returns, total",taxac,1435848586,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,10,2,No adjusted gross income,taxac,241975,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,11,3,"$1 under $5,000",taxac,40941,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,12,4,"$5,000 under $10,000",taxac,368015,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,13,5,"$10,000 under $15,000",taxac,1381283,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,14,6,"$15,000 under $20,000",taxac,3523850,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,15,7,"$20,000 under $25,000",taxac,6191130,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,16,8,"$25,000 under $30,000",taxac,8752577,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,17,9,"$30,000 under $40,000",taxac,25167659,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,18,10,"$40,000 under $50,000",taxac,32530107,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,19,11,"$50,000 under $75,000",taxac,99790385,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,20,12,"$75,000 under $100,000",taxac,105900927,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,21,13,"$100,000 under $200,000",taxac,316328337,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,22,14,"$200,000 under $500,000",taxac,297192494,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,23,15,"$500,000 under $1,000,000",taxac,151253134,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,24,16,"$1,000,000 under $1,500,000",taxac,64652109,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,25,17,"$1,500,000 under $2,000,000",taxac,38594091,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,26,18,"$2,000,000 under $5,000,000",taxac,98361813,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,27,19,"$5,000,000 under $10,000,000",taxac,54239522,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,L,28,20,"$10,000,000 or more",taxac,131338237,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,9,1,"All returns, total",ti,7350295492,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2015,15in12ms.xls,J,29,1,"Taxable returns, total",ti,7199620708,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,10,2,No adjusted gross income,ti,0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,11,3,"$1 under $5,000",ti,433802,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,12,4,"$5,000 under $10,000",ti,3654755,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,13,5,"$10,000 under $15,000",ti,17534933,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,14,6,"$15,000 under $20,000",ti,43206787,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,15,7,"$20,000 under $25,000",ti,71587937,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,16,8,"$25,000 under $30,000",ti,97548763,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,17,9,"$30,000 under $40,000",ti,258870165,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,18,10,"$40,000 under $50,000",ti,303324644,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,19,11,"$50,000 under $75,000",ti,799873339,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,20,12,"$75,000 under $100,000",ti,778011174,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,21,13,"$100,000 under $200,000",ti,1895870893,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,22,14,"$200,000 under $500,000",ti,1271631085,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,23,15,"$500,000 under $1,000,000",ti,527614042,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,24,16,"$1,000,000 under $1,500,000",ti,210041628,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,25,17,"$1,500,000 under $2,000,000",ti,122829421,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,26,18,"$2,000,000 under $5,000,000",ti,308993986,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,27,19,"$5,000,000 under $10,000,000",ti,173981577,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,J,28,20,"$10,000,000 or more",ti,465286561,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,9,1,"All returns, total",tottax,1457891441,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2015,15in12ms.xls,N,29,1,"Taxable returns, total",tottax,1457891441,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,10,2,No adjusted gross income,tottax,242459,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,11,3,"$1 under $5,000",tottax,40941,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,12,4,"$5,000 under $10,000",tottax,368015,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,13,5,"$10,000 under $15,000",tottax,1381283,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,14,6,"$15,000 under $20,000",tottax,3523850,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,15,7,"$20,000 under $25,000",tottax,6191130,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,16,8,"$25,000 under $30,000",tottax,8752589,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,17,9,"$30,000 under $40,000",tottax,25167676,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,18,10,"$40,000 under $50,000",tottax,32530207,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,19,11,"$50,000 under $75,000",tottax,99791796,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,20,12,"$75,000 under $100,000",tottax,105901459,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,21,13,"$100,000 under $200,000",tottax,316349637,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,22,14,"$200,000 under $500,000",tottax,299832203,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,23,15,"$500,000 under $1,000,000",tottax,154388762,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,24,16,"$1,000,000 under $1,500,000",tottax,66323590,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,25,17,"$1,500,000 under $2,000,000",tottax,39671617,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,26,18,"$2,000,000 under $5,000,000",tottax,101488542,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,27,19,"$5,000,000 under $10,000,000",tottax,56334403,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2015,15in12ms.xls,N,28,20,"$10,000,000 or more",tottax,139611281,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,9,1,"All returns, total",agi,14795614070,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,29,1,"Taxable returns, total",agi,13879929368,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,10,2,No adjusted gross income (includes deficits),agi,-171836364,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,30,2,No adjusted gross income (includes deficits),agi,-12835378,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,11,3,"$1 under $5,000",agi,19987243,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,31,3,"$1 under $5,000",agi,451204,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,12,4,"$5,000 under $10,000",agi,67651359,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,32,4,"$5,000 under $10,000",agi,1358544,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,13,5,"$10,000 under $15,000",agi,125912056,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,33,5,"$10,000 under $15,000",agi,14362205,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,14,6,"$15,000 under $20,000",agi,170836129,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,34,6,"$15,000 under $20,000",agi,57643020,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,15,7,"$20,000 under $25,000",agi,199508960,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,35,7,"$20,000 under $25,000",agi,101727915,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,16,8,"$25,000 under $30,000",agi,241347179,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,36,8,"$25,000 under $30,000",agi,141934070,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,17,9,"$30,000 under $40,000",agi,561386434,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,37,9,"$30,000 under $40,000",agi,382385416,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,18,10,"$40,000 under $50,000",agi,573155378,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,38,10,"$40,000 under $50,000",agi,457336377,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,19,11,"$50,000 under $75,000",agi,1392395599,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,39,11,"$50,000 under $75,000",agi,1238178360,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,20,12,"$75,000 under $100,000",agi,1271699391,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,40,12,"$75,000 under $100,000",agi,1206614503,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,21,13,"$100,000 under $200,000",agi,3297058075,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,41,13,"$100,000 under $200,000",agi,3252746502,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,22,14,"$200,000 under $500,000",agi,2619188471,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,42,14,"$200,000 under $500,000",agi,2613795014,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,23,15,"$500,000 under $1,000,000",agi,1092599034,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,43,15,"$500,000 under $1,000,000",agi,1091571914,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,24,16,"$1,000,000 under $1,500,000",agi,454552875,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,C,44,16,"$1,000,000 or more",agi,3332659702,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,25,17,"$1,500,000 under $2,000,000",agi,268278123,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,26,18,"$2,000,000 under $5,000,000",agi,698923219,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,27,19,"$5,000,000 under $10,000,000",agi,435242550,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,C,28,20,"$10,000,000 or more",agi,1477728359,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,9,1,"All returns, total",agi_hoh,1037010822,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,29,1,"Taxable returns, total",agi_hoh,689690965,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,10,2,No adjusted gross income (includes deficits),agi_hoh,-5663364,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,30,2,No adjusted gross income (includes deficits),agi_hoh,-224829,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,11,3,"$1 under $5,000",agi_hoh,1500478,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,31,3,"$1 under $5,000",agi_hoh,0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,12,4,"$5,000 under $10,000",agi_hoh,7050139,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,32,4,"$5,000 under $10,000",agi_hoh,41496,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,13,5,"$10,000 under $15,000",agi_hoh,20151818,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,33,5,"$10,000 under $15,000",agi_hoh,0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,14,6,"$15,000 under $20,000",agi_hoh,33387804,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,34,6,"$15,000 under $20,000",agi_hoh,0,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,15,7,"$20,000 under $25,000",agi_hoh,42143232,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,35,7,"$20,000 under $25,000",agi_hoh,1221357,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,16,8,"$25,000 under $30,000",agi_hoh,53516222,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,36,8,"$25,000 under $30,000",agi_hoh,3540698,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,17,9,"$30,000 under $40,000",agi_hoh,123133503,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,37,9,"$30,000 under $40,000",agi_hoh,18377771,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,18,10,"$40,000 under $50,000",agi_hoh,99654083,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,38,10,"$40,000 under $50,000",agi_hoh,51101347,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,19,11,"$50,000 under $75,000",agi_hoh,190923665,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,39,11,"$50,000 under $75,000",agi_hoh,153109159,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,20,12,"$75,000 under $100,000",agi_hoh,121571248,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,40,12,"$75,000 under $100,000",agi_hoh,115966081,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,21,13,"$100,000 under $200,000",agi_hoh,169608771,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,taxable,2021,21in12ms.xls,AM,41,13,"$100,000 under $200,000",agi_hoh,167303906,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
tab12,filers,2021,21in12ms.xls,AM,22,14,"$200,000 under $500,000",agi_hoh,73740677,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status"
